Book-Author,count
A. Leigh Deneef,1
A. Linzey,1
A. Lloyd,1
A. Lynn Berle,1
A. Lyons,1
A. M Tibbetts,1
A. M. Galopim de Carvalho,1
A. M. Homes,7
A. M. Jenkins,3
A. M. Monson,3
A. M. R. Agur,1
A. M. Rosenthal,2
A. M. Sperber,1
A. Malcolm Campbell,1
A. Manette Ansay,14
A. Martin,1
A. Mather,1
A. Melody,2
A. Merritt,2
A. Michael Kahn,1
A. Monnerie,1
A. Mortimer,1
A. N AfanasÂ§ev,1
A. N Roquelaure,1
A. N Wilson,1
A. N. Roquelaure,5
A. N. Wilson,13
A. Nadaud,1
A. Nataf,1
A. Natow,1
A. Nicholas Fargnoli,1
A. Nicholas. Vardac,1
A. Norman Jeffares,2
A. Northedge,1
A. Olive Wadsworth,1
A. P Riemer,1
A. P. Cowie,1
A. P. Herbert,1
A. P. J Abdul Kalam,1
A. P. Porter,1
A. Pablo Iannone,2
A. Parody,1
A. Pate,1
A. Plass,1
A. Plater,1
A. Platonov,1
A. R Ammons,1
A. R. Chandler,1
A. R. Eguiguren,1
A. R. Guerney,1
A. R. Gurney,1
A. R. Hope,1
A. R. Hope Moncrieff,1
A. R. Melrose,1
A. R. Myers,1
"A. R., Dr Hari",1
A. Ralph Epperson,2
A. Ray Elkins,2
A. Richard Barber,1
A. Rimbauld,1
A. Robbe-Grillet,1
A. Roberts,1
A. Roger Merrill,1
A. Rosalie David,1
A. Roy Petrie,1
A. Rupert Hall,1
A. Rushton,1
A. Ryan Nerz,1
A. S. Byatt,22
A. S. Cua,1
A. S. Hornby,3
A. S. Neill,1
A. S. Romanov,1
A. Sage,1
A. Saint-Exupery,1
A. Scott Berg,4
A. Seton,1
A. Sewell,1
A. Sherfan,1
A. Silberschatz,1
A. Sinclair,1
A. Siniavskii,1
A. Soto,1
A. Sow Fall,1
A. Sparkes,1
A. Sperling,1
A. Stassinopoulos,1
A. Strindberg,1
A. Susan Williams,1
A. T. Mann,4
A. Thomas,1
A. Tom Topper,1
A. Towle,1
A. Trigg,1
A. Tyrrell,1
A. V. Sellwood,1
A. Van Dis,1
A. Verghese,2
A. W Moore,1
A. W Reed,1
A. W. Gray,2
A. W. Palmer,1
A. W. Tozer,2
A. Wainwright,2
A. Walton Litz,1
A. Wayne Roberts,1
A. Westbrook,1
A. Whitney Brown,1
A. Wilkes,3
A. William Robinson,1
A. Williams,1
A. Wimschneider,1
A. Zee,2
A. den Doolaard,1
A.-L. Kennedy,1
A.A. ATTANASIO,1
A.A. Attanasio,6
A.A. Carr,1
A.A. Cumming,1
A.A. Fair,1
A.A. MILNE,2
A.A. Milne,21
A.B. Daniel,3
A.B. Facey,1
A.B. Paterson,1
A.C. Bhaktivedanta Swami,1
A.C. Bhaktivedanta Swami Prabhupada,2
A.C. Cawley,2
A.C. Crispin,18
A.C. Ellis,1
A.C. Gordon,1
A.C. Graham,1
A.C. Grayling,1
A.C. Montgomery,1
A.C. Pomahoba,2
A.E. Cannon,1
A.E. Ellis,1
A.E. Hotchner,4
A.E. Houseman,1
A.E. Maxwell,2
A.E. Parker,7
A.E. Van Vogt,9
A.E. Waite,1
A.E. Weiss,1
A.E.W. Mason,3
A.G. Elliot,1
A.G. Mojtabai,1
A.J. Augarde,1
A.J. Benza,1
A.J. Chevalier,1
A.J. Cronin,3
A.J. Dunning,1
A.J. JACOBS,2
A.J. Jacobs,2
A.J. Langguth,1
A.J. Liebling,2
A.J. McCallen,1
A.J. Orde,4
A.J. Quinnell,3
A.J. Russell,1
A.J. Wood,4
A.J.P. Taylor,2
A.K. Dewdney,2
A.K. Legg,1
A.L. Farley,1
A.L. Kennedy,1
A.L. Singer,5
A.L. WILLIAMS,1
A.L. White,1
A.M. HOMES,2
A.M. Homes,4
A.M. Klein,1
A.M. Miandij,1
A.M. Monson,1
A.M. Rosenthal,2
"A.M. \Tex\"" Johnson""",1
A.N. Jeffares,8
A.N. Ocker,1
A.N. Roquelaure,3
A.N. Wilson,3
A.P. Dobson,1
A.R. Ammons,1
A.R. Morlan,1
A.R. Myers,1
A.R. Radcliffe-Brown,1
A.R. Riefe,1
A.R.R.R. Roberts,3
A.S.  Byatt,1
A.S. BYATT,4
A.S. Byatt,4
A.S. Hitchcock,2
A.Susan Williams,1
A.T Langford,1
A.T Mann,1
A.T. Hatto,1
A.T. Mann,1
A.W. Gray,2
A.W. Mykel,2
A.W. Reed,1
A.W. Tozer,1
A.a Milne,1
AA.VV.,1
AAA,3
AAA Publishing,2
AARON ALLSTON,1
AARON HAMBURGER,1
AARON LANSKY,1
AARON NAPARSTEK,1
ABBE Prevost,1
ABRAHAM CAHAN,1
ABRAHAM LINCOLN,2
AD HUDLER,3
ADAIR LARA,1
ADAM BELLOW,1
ADAM GAFFIN,1
ADAM HASLETT,2
ADAM ROBINSON,1
ADAM SMITH,1
ADAMS,1
ADELE STAN,1
ADELE WISEMAN,1
ADELINE YEN MAH,1
ADRIANA TRIGIANI,7
AElig;leen Frisch,1
AGATHA CHRISTIE,3
AHD,1
AHLBERG,1
AINSLIE T. EMBREE,1
AJ Butcher,1
AL FRANKEN,2
AL PERKINS,4
ALAIN DE BOTTON,2
ALAN BENNETT,1
ALAN DEAN FOSTER,8
ALAN DEUTSCHMAN,1
ALAN FURST,7
ALAN HOLLINGHURST,1
ALAN OKEN,1
ALB3,1
ALBERT CAMUS,6
ALBERT EINSTEIN,3
ALBERT FRENCH,1
ALBERTO MORAVIA,2
ALEKSANDAR HEMON,2
ALESSANDRO BOFFA,1
ALEX BARKER,1
ALEX COMFORT,1
ALEX HALEY,1
ALEX WELLEN,1
ALEX WITCHEL,1
ALEXANDER HAMILTON,1
ALEXANDER IRVINE,1
ALEXANDER MCCALL SMITH,3
ALEXANDER PUSHKIN,1
ALEXANDRA DAVID-NEEL,1
ALEXANDRA FULLER,2
ALEXANDRA PENNEY,1
ALEXANDRA STODDARD,1
ALEXANDRE DUMAS,4
ALEXIS DE TOCQUEVILLE,2
ALFRED HABEGGER,1
ALFRED MASON AMADON,1
ALFRED PORTALE,1
ALFREDO BRYCE-ECHENIQUE,1
ALI SMITH,3
ALICE ADAMS,1
ALICE BORCHARDT,2
ALICE HOFFMAN,3
ALICE KAHN LADAS,1
ALICE MCDERMOTT,1
ALICE STEINBACH,2
ALICE WALKER,1
ALISON C. ROSE,1
ALISON G. TAYLOR,1
ALISON GORDON,3
ALISON MCGHEE,1
ALISON WEIR,3
ALIX KATES SHULMAN,1
ALLAN COLE,1
ALLAN GURGANUS,1
ALLAN MALLINSON,1
ALLAN PEASE,1
ALLAN ZOLA KRONZEK,1
ALLEN KLEIN,2
ALLEN M. DVM MS SCHOEN,1
ALLEN MANDELBAUM,2
ALLIE SHAW,2
ALLISON GLOCK,1
ALLISON PEARSON,1
ALMA GUILLERMOPRIETO,1
ALMA R. HUTCHENS,1
ALVAH SIMON,1
ALVIN M. JOSEPHY,1
ALYSSA BRUGMAN,1
AMANDA CRAIG,2
AMANDA CROSS,7
AMANDA QUICK,2
AMELIA ATWATER-RHODES,3
AMELIA KINKADE,1
AMIR D. ACZEL,1
AMIT CHAUDHURI,1
AMITAV GHOSH,1
AMMIEL HIRSCH,1
AMULYA MALLADI,2
AMY BLOOM,2
AMY CHUA,1
AMY DACYCZYN,1
AMY GRAY,1
AMY KEEHN,1
AMY TAN,2
ANDRE III DUBUS,2
ANDREA DI ROBILANT,2
ANDREA IMMER,1
ANDREA POSNER-SANCHEZ,1
ANDREA SMITH,1
ANDREA VAN STEENHOUSE,2
ANDREW BURSTEIN,1
ANDREW COHEN,1
ANDREW FOX,1
ANDREW GUTELLE,1
ANDREW LECKEY,1
ANDREW MD WEIL,1
ANDREW PHD ROSS,1
ANDREW SULLIVAN,2
ANDREW TODHUNTER,1
ANDREW VACHSS,2
ANDY,1
ANDY BEHRMAN,2
ANGELA ELWELL HUNT,1
ANGELA Y. DAVIS,1
ANIKA NAILAH,1
ANITA BROOKNER,6
ANITA LIBERTY,1
ANITA RAU BADAMI,1
ANN BARRY,1
ANN BEATTIE,1
ANN BENSON,3
ANN BRASHARES,3
ANN BRAYBROOKS,3
ANN CAMERON,1
ANN COULTER,3
ANN HALAM,1
ANN LOUISE BARDACH,1
ANN LOUISE GITTLEMAN,1
ANN PACKER,2
ANNA BEER,1
ANNA FIENBERG,1
ANNA HELD AUDETTE,1
ANNA JANE HAYS,1
ANNA QUINDLEN,9
ANNA SEWELL,1
ANNA THOMAS,2
ANNE APPLEBAUM,2
ANNE BANCROFT,1
ANNE BARING,1
ANNE D. LECLAIRE,1
ANNE FINE,1
ANNE FRANK,3
ANNE MARIE COLBIN,1
ANNE MCCAFFREY,5
ANNE MORROW LINDBERGH,1
ANNE NELSON,1
ANNE PERRY,9
ANNE PHD MOIR,1
ANNE RAMPLING,1
ANNE RAVER,1
ANNE RICE,22
ANNE SCOTT,1
ANNE TYLER,16
ANNE WALDMAN,2
ANNETTE CURTIS KLAUSE,1
ANNETTE LAPLACA,1
ANNIE COBB,2
ANNIE INGLE,1
ANNIE WANG,1
ANTHONY BRUNO,1
ANTHONY C. MEISEL,1
ANTHONY DE MELLO,1
ANTHONY DESTEFANO,1
ANTHONY LEWIS,2
ANTON CHEKHOV,2
ANTONIA FRASER,5
APPLE JORDAN,1
APRIL FROST,1
APRIL HALPRIN WAYLAND,2
ARIANNA HUFFINGTON,1
ARIEL DORFMAN,1
ARLENE J. CHAI,1
ART SPIEGELMAN,3
ARTHUR C. CLARKE,1
ARTHUR CONAN DOYLE,2
ARTHUR HAILEY,2
ARTHUR JEON,1
ARTHUR JR LEVITT,1
ARTHUR KOESTLER,1
ARTHUR PHILLIPS,2
ARTHUR SLADE,1
ARTHUR WALDHORN,1
ARTURO PEREZ-REVERTE,1
ARUNDHATI ROY,1
ASI Student Project,1
AURELIUS BATTAGLIA,1
AYN RAND,1
AYYA KHEMA,1
AZAR NAFISI,1
Aa.Vv,1
Aaaaaa,1
Aage Henriksen,1
Aamer Hussein,1
Aaron Acevedo,1
Aaron Allston,10
Aaron Bank,2
Aaron Betsky,2
Aaron Cometbus,1
Aaron Copland,4
Aaron Dean Hall,1
Aaron Elkins,17
Aaron Fletcher,11
Aaron Hass,1
Aaron Hicklin,1
Aaron Hsu-Flanders,3
Aaron Iceman,1
Aaron J. Elkins,10
Aaron Karo,1
Aaron Kramer,1
Aaron Latham,6
Aaron Lawrence,1
Aaron M. Davis,1
Aaron Maree,1
Aaron McGruder,2
Aaron Percifull,1
Aaron Richard Golub,1
Aaron Roy Even,1
Aaron Shepard,1
Aaron Sorkin,1
Aaron Spelling,2
Aaron T. Beck,1
Aaron Weiss,2
Aaron Zelman,1
Aaron Zerah,1
AarÃ³n Cupit,1
Aat Vervoorn,1
Abba Solomon Eban,1
Abbas Milani,2
Abbe Lane Leff,1
Abbe Prevost,4
Abbey,3
Abbie F. Salny,3
"Abbie F., Dr. Salny",1
Abbie Hoffman,6
Abbie Morgan Madenwald,1
Abbie Salny,2
Abbie Zabar,1
Abbott Burke,1
Abby Adams,3
Abby Bardi,2
Abby Denson,1
Abby Frucht,9
Abby Goodnough,1
Abby Haight,1
Abby Kanter,1
Abby Levine,1
Abby Marks-Beale,1
Abby Ruoff,4
Abd Al-Hayy Moore,1
Abd. Talib b. Mohd. Hassan,1
Abdelhak Serhane,2
Abdelkebir Khatibi,1
Abdellatif LaÃ¢bi,1
Abdourahman A. Waberi,1
Abdourahman Ali Waberi,1
Abdu'L-Baha,1
Abdul Smith,1
Abdullah Hassan,1
Abdullah Hussain,1
Abdullah Yusuf Ali,1
Abdulrazak Gurnah,1
Abe Opincar,1
Abel Laxamana,1
Abel Matias,1
Abel Montagut,1
Abel Paz,1
Abel Pohulanik,1
Abel Posse,4
Abensur,1
Abha Dawesar,1
Abi Morgan,1
Abigail Adams,1
Abigail Browning,1
Abigail Dewitt,1
Abigail Gordon,3
Abigail McDaniels,3
Abigail Padgett,8
Abigail Reed,2
Abigail Stone,2
Abigail Tabby,2
Abigail Thomas,7
Abigail Trafford,1
Abigail Van Buren,3
Abigale McDaniels,1
Abingdon Press,1
Abk Publ,1
Able Jones,1
Abnett,1
Abra Taylor,4
Abraham  Silberschatz,1
Abraham B. Yehoshua,1
Abraham Cahan,2
Abraham Chapman,1
Abraham H.  Maslow,1
Abraham H. Lass,1
Abraham Harold Lass,1
Abraham Harold Maslow,3
Abraham J. Klausner,1
Abraham J. Malherbe,1
Abraham J. Twerski,2
Abraham Joshua Heschel,2
Abraham Lincoln,6
Abraham Merritt,2
Abraham Morgentaler,1
Abraham N. Lieberman,1
Abraham Pais,2
Abraham Rodriguez,2
Abraham Silberschatz,1
Abraham Sperling,1
Abraham Verghese,3
"Abraham, Jr. Rodriguez",1
Abraham. Chill,1
Abrahams Marc,1
Abram Kanof,1
Abram S. Himelstein,1
Abram Terts,1
Abram Tertz,3
Abrams,6
Abu Hassan Morad,1
"Abubaker Tafawa, Sir, Balewa",1
Abulkalam M. Shamsuddin,1
Academic Industry,1
Academy of American Poets,1
Access Guides,1
Access Press,3
Access Travel Guides,1
Ace Atkins,6
Ace Collins,8
Ace Starry,1
Acharya S,1
Achille Campanile,1
Achim Broger,1
Achim BrÃ?Â¶ger,5
Achmat Dangor,1
Achy Obejas,3
Action Sounds,1
Acton Figueroa,2
Ad ten Bosch,1
Ad van Iterson,1
Ada Bassett Litchfield,1
Ada Byrge,1
Ada Cambridge,1
Ada Fitzwilliam,1
Ada Graham,1
Ada Muir,2
Ada Petrova,1
Ada Steward,6
Adah Bakalinsky,1
Adair,1
Adair Lara,3
Adalbert A. Vogl,1
Adalbert De Vogue,1
Adalbert Stifter,3
Adalee Winter,1
Adam Adler,1
Adam Bagdasarian,2
Adam Barrow,3
Adam Beechen,5
Adam Berlin,1
Adam Brate,1
Adam Braver,3
Adam Bryan,1
Adam C. Engst,3
Adam Cadre,2
Adam Chilson,1
Adam Christing,1
Adam Cohen,3
Adam Cole,1
Adam Connell,1
Adam Davies,1
Adam Dolgins,2
Adam Douglas,1
Adam Drozdek,1
Adam Engst,1
Adam Fifield,2
Adam Ford,1
Adam Gamble,1
Adam Gittlin,1
Adam Gopnik,2
Adam Gottlieb,1
Adam Green,1
Adam Gussow,1
Adam Hall,17
Adam Hanft,1
Adam Hart-Davis,4
Adam Haslett,1
Adam Hochschild,5
Adam J. Jackson,3
Adam Jamrozik,2
Adam Johnson,4
Adam Kendon,1
Adam Kennedy,3
Adam Killick,1
Adam Klein,1
Adam L. Penenberg,1
Adam Langer,2
Adam Lassiter,2
Adam Lebor,2
Adam Lee,5
Adam Long,1
Adam M. Brandenburger,1
Adam Makkai,1
Adam Mastoon,1
Adam McCauley,1
Adam McGovern,1
Adam Micxkiewicz,1
Adam Mills,1
Adam N. Joinson,1
Adam Nicolson,7
Adam Osterweil,1
Adam Palmer,1
Adam Parkes,1
Adam Peltzman,1
Adam Pertman,1
Adam Phillips,5
Adam Pratt,1
Adam R. Holz,1
Adam Rapp,2
Adam Roberts,3
Adam Robinson,7
Adam Sia,1
Adam Sisman,1
Adam Smith,10
Adam Suddaby,1
Adam Sygor,1
Adam Thirlwell,1
Adam Thorpe,4
Adam Troy Castro,1
Adam Victor,1
Adam Warren,1
Adam Werbach,2
Adam Williams,1
Adam Woog,1
Adam Yates,1
Adam Zameenzad,2
Adam Zamoyski,1
Adam Zickerman,1
Adam-Troy Castro,4
Adams,6
Adams Casey,1
Adams Rouns Table,1
Adc,1
Adc the Map People,2
Addams,1
Addison Steel,1
Addison Wesley,1
Addison Wesley Longman,2
Adel Garcia Morales,1
Adel S. Sedra,1
Adela Gago Valersi,1
Adela Gregory,1
Adela Hernandez Gonzmart,1
Adela St. Johns,1
Adela Vergara,1
Adelaida GarcÃ­a Morales,1
Adelaide Bry,3
Adelaide Holl,1
Adelaide Hull,1
Adelaide N Baker,1
Adelbert von Chamisso,2
Adele Ashworth,5
Adele Beatrice Lewis,1
Adele Crockett Robertson,3
Adele De Leeuw,1
Adele Droblas Greenberg,1
Adele Faber,10
Adele Geras,9
Adele Getty,2
Adele Griffin,7
Adele J. Haft,1
Adele Lang,7
Adele M. Scheele,1
Adele Mongan,1
Adele Olivia Gladwell,1
Adele Parks,5
Adele Puhn,2
Adele Puhn-Adelepuhn,1
Adele Q. Brown,1
Adele Read,2
Adele Roberts,1
Adele Robinson,1
Adele Wiseman,1
Adelheid Ohlig,1
Adeline Garner. Shell,1
Adeline Yen Mah,12
Adell Harvey,2
Adelle Davis,4
Adelma Grenier Simmons,2
Adi Kent Th Jeffrey,1
Adib Khan,2
Adilakshmi Olati,1
Adin Steinsaltz,4
Adina Blady-Szwajgier,1
Adina Hoffman,1
Adiraja Dasa,1
Adirana Trigiani,1
Adler,2
Adnre Norton,1
Adobe Creative Team,11
Adobe Systems Inc,2
Adolf Adam,1
Adolf Erman,1
Adolf GuggenbÃ?Â¼hl-Craig,1
Adolf Hitler,2
Adolf Holl,1
Adolf Hungry Wolf,2
Adolf Lamprecht,1
Adolf Muschg,4
Adolf SchrÃ¶der,1
Adolfo Bioy Casares,7
Adolfo Marsillach,1
Adolfo Perez Esquivel,1
Adolfo Robleto,1
Adolph Francis Alphonse Bandelier,1
Adolph Moser,1
Adreana Robbins,2
Adriaan Venema,1
Adriaan van Dis,3
Adrian  Berry,1
Adrian Akmajian,1
Adrian Ann Rapp,1
Adrian Berry,3
Adrian Boot,1
Adrian Buckley,1
Adrian C. Louis,1
Adrian Cockcroft,2
Adrian Cole,2
Adrian Collins,1
Adrian Conan Doyle,2
Adrian Desmond,2
Adrian Edmondson,2
Adrian Fogelin,1
Adrian Forsyth,7
Adrian G. Gilbert,1
Adrian Gilbert,4
Adrian Golding,1
Adrian Goldsworthy,1
Adrian Gostick,1
Adrian Hall,1
Adrian Havill,6
Adrian Heath,1
Adrian Holloway,1
Adrian House,1
Adrian J Desmond,1
Adrian J. Slywotzky,1
Adrian Kingsley-Hughes,1
Adrian Levy,1
Adrian Lister,1
Adrian Malone,1
Adrian Matthews,1
Adrian McGregor,1
Adrian Mitchell,1
Adrian Naef,1
Adrian Nicole LeBlanc,2
Adrian Nye,3
Adrian Plass,12
Adrian R. Martin,1
Adrian Recinos,1
Adrian Reynolds,1
Adrian Richeri,1
Adrian Rigelsford,1
Adrian Robert,3
Adrian Rogers,2
Adrian Room,2
Adrian Sargeant,1
Adrian Savage,2
Adrian Slywotzky,1
Adrian Tame,1
Adrian Tomine,3
Adrian Van Kaam,1
Adrian Weale,1
Adrian White,1
Adrian Wilson,1
"Adrian and Talley, Steven Malone",1
"Adrian, Jr. Call Parker",1
Adriana Gabriel,1
Adriana Rocha,1
Adriana Rubio,1
Adriana Trigiana,1
Adriana Trigiani,5
Adriane G Berg,1
Adriane G. Berg,3
Adrianne Blue,2
Adrianne Byrd,5
Adrianne Harun,1
Adrianne Lee,14
Adrieanne Lee,1
Adriel D Chilson,1
Adrien Arpel,4
Adrien Stoutenburg,1
Adrienne,3
Adrienne Adams,2
Adrienne B. Lieberman,1
Adrienne Basso,8
Adrienne Berofsky,1
Adrienne Brodeur,1
Adrienne Burns,3
Adrienne Cecile Rich,1
Adrienne Day,1
Adrienne Dewolfe,2
Adrienne Eisen,1
Adrienne Ellis Reeves,2
Adrienne Hall,1
Adrienne Jack,1
Adrienne Jansen,1
Adrienne Katz,1
Adrienne Keith,1
Adrienne M. Brown,1
Adrienne Martine-Barnes,2
Adrienne Miller,1
Adrienne Popper,1
Adrienne Rich,21
Adrienne Sharp,1
Adrienne Staff,1
Adrienne Welch,1
Adrienne deWolfe,1
Adrienne.,1
Advent,1
Adventure Imports,1
Adventure Publications,2
AdÃ¨le Geras,3
AdÃ©lia Prado,1
Aeleen Frisch,1
Aeneus Gunn,1
Aeron Clement,2
Aerosmith,1
Aeschylus,8
Aesop,23
Afdera Fonda,1
Afi Scruggs,1
Africa Fine,1
Africville Genealogical Society,1
Afua,2
Agapi Stassinopoulos,1
Agate Nesaule,1
Agatha Anastasi,1
Agatha Chrisitie,1
Agatha Christe,1
Agatha Christie,632
Agatha Christie Mallowan,1
"Agatha Miller, Dame Christie",2
Agatha christie,1
Agehananda Bharati,1
Agi Kiss,2
Agile Rabbit Edition,1
Aglaia Kremezi,1
Aglaia Kremzi,1
Aglaja Veteranyi,1
Agnes Amberg,1
Agnes B. Hatfield,1
Agnes Bloumentzweig,1
Agnes Bushell,2
Agnes De Mille,1
Agnes Desarthe,5
Agnes Frank,1
Agnes Hankiss,1
Agnes Hooper Gottlieb,1
Agnes Latham,1
Agnes Miall,1
"Agnes Morley, Cleaveland",1
Agnes Rossi,4
Agnes Sanford,3
Agnes Sligh Turnbull,1
Agnes Von Kurowsky,1
Agnes-Marie Grisebach,1
Agnes. Toms,1
Agneta Pleijel,1
Agnetha Faltskog,1
AgnÃ?Â¨s Desarthe,1
AgnÃ?Â¨s Rosenstiehl,1
AgnÃ¨s Desarthe,1
Agostinho da Silva,1
Agota Kristof,7
Agria,1
Agusti De Miguel,1
Agustin Gomez-Arcos,1
AgustÃ­ Alcoberro,1
AgustÃ­n GarcÃ­a MartÃ­nez,1
AgustÃ­n Villar Ledesma,1
Aharon Appelfeld,4
Ahdaf Soueif,9
Aherne,1
Ahlberg,2
Ahmad Rashad,1
Ahmad al-Tifashi,1
Ahmadou Kourouma,5
Ahmed Ali,1
Ahmed Hoke,1
Ahmed Marzouki,1
Ahmed Osman,2
Ahmed Rashid,4
Ahmed Souaiaia,1
Ahmet Bayaz,1
Ahne,2
Ahrendt,1
Ai,2
Ai Morinaga,1
Ai Yazawa,5
Ai-Ling Louie,1
Aichinger,1
Aidan Carl Mathews,1
Aidan Chambers,6
Aidan MacFarlane,1
Aidan Macfarlane,1
Aidan Mathews,1
Aidan Meehan,5
Aidan Nichols,1
"Aidan, MacFarlane",1
Aiden Beaverson,1
Aiden Shaw,2
Aiden W. Tozer,1
Aiken,1
Aileen Armitage,2
Aileen Humphrey,2
Aileen Joyce,3
Aileen Lucia Fisher,1
Aileen Ludington,2
Aileen Marron,1
Aileen O'Bryan,1
Aileen Paterson,1
Aileen Schumacher,4
Aileen Weintraub,1
Aili Flint,1
Aime Cesaire,3
Aimee Bender,4
Aimee Duvall,1
Aimee Liu,6
Aimee Martel,1
Aimee Sommerfelt,1
Aimee Thurlo,35
AimÃ© CÃ©saire,1
Aine O'Connor,1
Aini Rajanen,1
Aino Trosell,2
Aino Wuolle,1
Ainsley Harriott,6
Ainslie Embree,1
Ainslie Meares,1
Ainslie Roberts,1
Ainslie Turner,1
Ainslie. Skinner,1
Aiping Mu,1
